Energy_usage,T1,T2,T3,T4,T6,RH_6,T8,RH_8,T_out,RH_out
60,19.89,19.2,19.79,19,7.026666667,84.25666667,18.2,48.9,6.60E+00,92
60,19.89,19.2,19.79,19,6.833333333,84.06333333,18.2,48.86333333,6.48E+00,92
50,19.89,19.2,19.79,18.92666667,6.56,83.15666667,18.2,48.73,6.37E+00,92
50,19.89,19.2,19.79,18.89,6.433333333,83.42333333,18.1,48.59,6.25E+00,92
60,19.89,19.2,19.79,18.89,6.366666667,84.89333333,18.1,48.59,6.13E+00,92
50,19.89,19.2,19.79,18.89,6.3,85.76666667,18.1,48.59,6.02E+00,92
60,19.89,19.2,19.79,18.89,6.263333333,86.09,18.1,48.59,5.90E+00,92
60,19.85666667,19.2,19.73,18.89,6.19,86.42333333,18.1,48.59,5.92E+00,91.83333333
60,19.79,19.2,19.73,18.89,6.123333333,87.22666667,18.1,48.59,5.93E+00,91.66666667
70,19.85666667,19.23,19.79,18.89,6.19,87.62666667,18.1,48.59,5.95E+00,91.5
230,19.92666667,19.35666667,19.79,18.89,6.19,87.86666667,18.1,48.59,5.97E+00,91.33333333
580,20.06666667,19.42666667,19.79,19,6.123333333,87.99333333,18.06666667,48.63333333,5.98E+00,91.16666667
430,20.13333333,19.56666667,19.89,19,6.123333333,88.59,18.06666667,48.56,6.00E+00,91
250,20.26,19.73,19.89,19,6.0675,88.215,18.03333333,48.66666667,6.00E+00,90.5
100,20.42666667,19.85666667,20.03333333,19,5.9,88.15666667,18.1,49.19333333,6.00E+00,90
100,20.56666667,20.03333333,20.1,19,5.8,88.36666667,18.15,49.2,6.00E+00,89.5
90,20.73,20.16666667,20.2,18.92666667,5.726666667,88.16,18.23,49.63333333,6.00E+00,89
70,20.85666667,20.2,20.2,18.89,5.526666667,87.3,18.35666667,50.02666667,6.00E+00,88.5
80,20.89,20.2,20.2,18.96333333,5.333333333,86.76,18.53333333,50.2,6.00E+00,88
140,20.89,20.2,20.16666667,19.03333333,5.333333333,87.46333333,18.66666667,50.26,6.00E+00,87.83333333
120,20.89,20.2,20.16666667,19.175,5.466666667,87.53,18.73,50.23,6.00E+00,87.66666667
190,20.96333333,20.26,20.2,19.26,5.5,86.95666667,18.85666667,50.29,6.00E+00,87.5
110,21.03333333,20.29,20.26,19.32333333,5.56,86.56333333,18.89,50.16333333,6.00E+00,87.33333333
110,21.1,20.35666667,20.29,19.39,5.623333333,86.33,18.96333333,50.03,6.00E+00,87.16666667
110,21.13333333,20.42666667,20.29,19.39,5.763333333,86.06333333,19,49.76,6.00E+00,87
110,21.2,20.5,20.39,19.39,5.656666667,85.59,19.06666667,49.7,5.93E+00,87.16666667
100,21.29,20.53333333,20.39,19.39,5.53,85.73,19.13333333,49.63333333,5.87E+00,87.33333333
100,21.35666667,20.66666667,20.39,19.39,5.433333333,86.32666667,19.2,49.43333333,5.80E+00,87.5
100,21.39,20.7,20.39,19.42666667,5.5,86.6,19.23,49.4,5.73E+00,87.66666667
100,21.5,20.7,20.39,19.56666667,5.59,86.46666667,19.29,49.32666667,5.67E+00,87.83333333
110,21.5,20.79,20.39,19.66666667,5.59,86.325,19.29,49.16333333,5.60E+00,88
400,21.53333333,20.79,20.42666667,19.6,5.656666667,86.22666667,19.35666667,49.03,5.65E+00,87.83333333
400,21.6,20.89,20.5,19.69666667,5.833333333,85.76666667,19.39,48.86333333,5.70E+00,87.66666667
390,21.6,20.96333333,20.5,20.09666667,5.9,85.03333333,19.39,48.86333333,5.75E+00,87.5
240,21.6,21,20.5,20.59666667,6,84.12666667,19.34,48.95,5.80E+00,87.33333333
60,21.6,21,20.5,20.99666667,6,84.06,19.29,49.23,5.85E+00,87.16666667
60,21.6,21,20.4175,21.16666667,5.966666667,84.79,19.35666667,49.43,5.90E+00,87
60,21.6,21,20.39,21.03333333,5.9,85.59666667,19.39,49.89,5.80E+00,87.83333333
50,21.6,21,20.29,20.96333333,5.763333333,86.26,19.39,50.16333333,5.70E+00,88.66666667
70,21.5,20.92666667,20.29,20.865,5.623333333,86.59333333,19.39,50.46333333,5.60E+00,89.5
60,21.5,20.89,20.29,20.73,5.59,87.49666667,19.39,50.72333333,5.50E+00,90.33333333
40,21.39,20.79,20.23,20.7,5.59,87.89666667,19.39,50.96333333,5.40E+00,91.16666667
40,21.39,20.79,20.2,20.63333333,5.59,88.63333333,19.39,51.16333333,5.30E+00,92
30,21.29,20.7,20.2,20.56666667,5.53,89.02666667,19.46333333,51.5,5.27E+00,92
40,21.29,20.63333333,20.16666667,20.5,5.53,89.4,19.39,51.56,5.23E+00,92
50,21.26,20.6,20.1,20.5,5.53,89.19333333,19.39,51.86,5.20E+00,92
310,21.2,20.6,20.1,20.42666667,5.4,89.4,19.39,52,5.17E+00,92
380,21.16666667,20.5,20.1,20.46,5.2,88.99,19.35666667,52.09,5.13E+00,92
380,21.075,20.5,20.1,20.79333333,4.866666667,89.06333333,19.29,52.16333333,5.10E+00,92
370,21,20.39,20.1,21.26333333,4.933333333,91.16,19.29,52.5,5.12E+00,92
120,21,20.39,20.1,21.59666667,5,91.43333333,19.23,52.9,5.13E+00,92
50,20.92666667,20.29,20.16666667,21.89,4.866666667,91.26,19.29,53.5,5.15E+00,92
40,20.89,20.23,20.13333333,21.82333333,4.726666667,91.59333333,19.29,53.96,5.17E+00,92
50,20.89,20.2,20.2,21.66666667,4.466666667,91.76,19.29,54.46333333,5.18E+00,92
40,20.79,20.2,20.16666667,21.53333333,4.333333333,91.76,19.2225,54.7225,5.20E+00,92
50,20.79,20.1,20.125,21.35666667,4.156666667,91.83333333,19.2,54.96666667,5.13E+00,92
50,20.7,20.1,20.13333333,21.23,4.156666667,92.56666667,19.2,54.96666667,5.07E+00,92
50,20.7,20,20.2,21.06666667,4.333333333,93.53,19.2,54.9,5.00E+00,92
40,20.6,20,20.2,20.92666667,4.333333333,93.32333333,19.2,54.86333333,4.93E+00,92
40,20.6,20,20.2,20.745,4.19,93.12666667,19.13333333,54.79,4.87E+00,92
30,20.56666667,19.89,20.2,20.66666667,4.063333333,92.86666667,19.2,54.9,4.80E+00,92
20,20.5,19.82333333,20.29,20.53333333,3.863333333,92.96666667,19.2,54.96666667,4.82E+00,92.16666667
20,20.5,19.79,20.29,20.39,3.79,93.09333333,19.2,55.09,4.83E+00,92.33333333
40,20.42666667,19.79,20.2,20.39,3.895,94.045,19.2,55.03,4.85E+00,92.5
50,20.39,19.76,20.2,20.29,4.19,94.65666667,19.2,54.86333333,4.87E+00,92.66666667
50,20.39,19.7,20.2,20.23,4.263333333,94.79666667,19.2,54.73,4.88E+00,92.83333333
40,20.29,19.7,20.26,20.1,4.463333333,95.03,19.1,54.56,4.90E+00,93
50,20.29,19.63333333,20.29,20.03333333,4.59,95.03,19.1,54.5,4.92E+00,92.66666667
40,20.23,19.6,20.29,20,4.726666667,94.86666667,19.1,54.5,4.93E+00,92.33333333
40,20.2,19.6,20.29,19.92666667,4.8,94.72666667,19.1,54.5,4.95E+00,92
40,20.2,19.56666667,20.29,19.85666667,4.8,94.49333333,19.1,54.4,4.97E+00,91.66666667
60,20.16666667,19.5,20.29,19.79,4.8,94.22666667,19.1,54.4,4.98E+00,91.33333333
50,20.1,19.5,20.29,19.76,4.8,94.12666667,19.1,54.29,5.00E+00,91
50,20.1,19.42666667,20.29,19.7,4.8,94,19.1,54.23,4.98E+00,91.66666667
40,20.03333333,19.39,20.29,19.66666667,4.763333333,93.56333333,19.05,54.045,4.97E+00,92.33333333
40,20,19.39,20.35666667,19.6,4.763333333,94.02333333,19,54,4.95E+00,93
40,20,19.39,20.39,19.6,4.833333333,94.72666667,19.06666667,54,4.93E+00,93.66666667
40,20,19.39,20.32333333,19.6,4.833333333,95,19.1,53.9,4.92E+00,94.33333333
50,19.92666667,19.29,20.32333333,19.5,4.9,95.53,19.03333333,53.82666667,4.90E+00,95
70,19.89,19.29,20.32333333,19.5,4.9975,95.82,19,53.79,4.93E+00,94.66666667
40,19.89,19.29,20.29,19.42666667,5.09,96.03,19,53.79,4.97E+00,94.33333333
30,19.89,19.29,20.29,19.39,5,95.9,19,53.76,5.00E+00,94
20,19.89,19.218,20.29,19.39,5,95.96666667,19,53.7,5.03E+00,93.66666667
30,19.89,19.2,20.29,19.29,4.966666667,95.93333333,19,53.875,5.07E+00,93.33333333
40,19.82333333,19.2,20.2,19.29,4.9,95.93333333,19,54,5.10E+00,93
